野菜1,野菜2,幅,長さ,配置,野菜1間隔縦(cm),野菜2間隔縦(cm）,間隔横(cm),野菜1の数,野菜2の数,画像番号
小カブ,春菊,10,60,1列,15,-,-,2,1,1
小カブ,春菊,10,70,1列,15,-,-,2,2,1
小カブ,春菊,10,80,1列,15,-,-,2,2,1
小カブ,春菊,10,90,1列,15,-,-,3,2,1
小カブ,春菊,10,100,1列,15,-,-,3,3,1
小カブ,春菊,10,110,1列,15,-,-,3,3,1
小カブ,春菊,10,120,1列,15,-,-,4,3,1
小カブ,春菊,10,130,1列,15,-,-,4,4,1
小カブ,春菊,10,140,1列,15,-,-,4,4,1
小カブ,春菊,10,150,1列,15,-,-,5,4,1
小カブ,春菊,10,160,1列,15,-,-,5,5,1
小カブ,春菊,10,170,1列,15,-,-,5,5,1
小カブ,春菊,10,180,1列,15,-,-,6,5,1
小カブ,春菊,10,190,1列,15,-,-,6,6,1
小カブ,春菊,10,200,1列,15,-,-,6,6,1
小カブ,春菊,20,60,1列,15,-,-,2,1,1
小カブ,春菊,20,70,1列,15,-,-,2,2,1
小カブ,春菊,20,80,1列,15,-,-,2,2,1
小カブ,春菊,20,90,1列,15,-,-,3,2,1
小カブ,春菊,20,100,1列,15,-,-,3,3,1
小カブ,春菊,20,110,1列,15,-,-,3,3,1
小カブ,春菊,20,120,1列,15,-,-,4,3,1
小カブ,春菊,20,130,1列,15,-,-,4,4,1
小カブ,春菊,20,140,1列,15,-,-,4,4,1
小カブ,春菊,20,150,1列,15,-,-,5,4,1
小カブ,春菊,20,160,1列,15,-,-,5,5,1
小カブ,春菊,20,170,1列,15,-,-,5,5,1
小カブ,春菊,20,180,1列,15,-,-,6,5,1
小カブ,春菊,20,190,1列,15,-,-,6,6,1
小カブ,春菊,20,200,1列,15,-,-,6,6,1
小カブ,春菊,30,60,並列,15,15,15,3,3,1
小カブ,春菊,30,70,並列,15,15,15,4,4,1
小カブ,春菊,30,80,並列,15,15,15,4,4,1
小カブ,春菊,30,90,並列,15,15,15,5,5,1
小カブ,春菊,30,100,並列,15,15,15,6,6,1
小カブ,春菊,30,110,並列,15,15,15,6,6,1
小カブ,春菊,30,120,並列,15,15,15,7,7,1
小カブ,春菊,30,130,並列,15,15,15,8,8,1
小カブ,春菊,30,140,並列,15,15,15,8,8,1
小カブ,春菊,30,150,並列,15,15,15,9,9,1
小カブ,春菊,30,160,並列,15,15,15,10,10,1
小カブ,春菊,30,170,並列,15,15,15,10,10,1
小カブ,春菊,30,180,並列,15,15,15,11,11,1
小カブ,春菊,30,190,並列,15,15,15,12,12,1
小カブ,春菊,30,200,並列,15,15,15,12,12,1
ハツカダイコン,春菊,10,60,1列,15,-,-,2,1,1
ハツカダイコン,春菊,10,70,1列,15,-,-,2,2,1
ハツカダイコン,春菊,10,80,1列,15,-,-,2,2,1
ハツカダイコン,春菊,10,90,1列,15,-,-,3,2,1
ハツカダイコン,春菊,10,100,1列,15,-,-,3,3,1
ハツカダイコン,春菊,10,110,1列,15,-,-,3,3,1
ハツカダイコン,春菊,10,120,1列,15,-,-,4,3,1
ハツカダイコン,春菊,10,130,1列,15,-,-,4,4,1
ハツカダイコン,春菊,10,140,1列,15,-,-,4,4,1
ハツカダイコン,春菊,10,150,1列,15,-,-,5,4,1
ハツカダイコン,春菊,10,160,1列,15,-,-,5,5,1
ハツカダイコン,春菊,10,170,1列,15,-,-,5,5,1
ハツカダイコン,春菊,10,180,1列,15,-,-,6,5,1
ハツカダイコン,春菊,10,190,1列,15,-,-,6,6,1
ハツカダイコン,春菊,10,200,1列,15,-,-,6,6,1
ハツカダイコン,春菊,20,60,1列,15,-,-,2,1,1
ハツカダイコン,春菊,20,70,1列,15,-,-,2,2,1
ハツカダイコン,春菊,20,80,1列,15,-,-,2,2,1
ハツカダイコン,春菊,20,90,1列,15,-,-,3,2,1
ハツカダイコン,春菊,20,100,1列,15,-,-,3,3,1
ハツカダイコン,春菊,20,110,1列,15,-,-,3,3,1
ハツカダイコン,春菊,20,120,1列,15,-,-,4,3,1
ハツカダイコン,春菊,20,130,1列,15,-,-,4,4,1
ハツカダイコン,春菊,20,140,1列,15,-,-,4,4,1
ハツカダイコン,春菊,20,150,1列,15,-,-,5,4,1
ハツカダイコン,春菊,20,160,1列,15,-,-,5,5,1
ハツカダイコン,春菊,20,170,1列,15,-,-,5,5,1
ハツカダイコン,春菊,20,180,1列,15,-,-,6,5,1
ハツカダイコン,春菊,20,190,1列,15,-,-,6,6,1
ハツカダイコン,春菊,20,200,1列,15,-,-,6,6,1
ハツカダイコン,春菊,30,60,並列,15,15,15,3,3,1
ハツカダイコン,春菊,30,70,並列,15,15,15,4,4,1
ハツカダイコン,春菊,30,80,並列,15,15,15,4,4,1
ハツカダイコン,春菊,30,90,並列,15,15,15,5,5,1
ハツカダイコン,春菊,30,100,並列,15,15,15,6,6,1
ハツカダイコン,春菊,30,110,並列,15,15,15,6,6,1
ハツカダイコン,春菊,30,120,並列,15,15,15,7,7,1
ハツカダイコン,春菊,30,130,並列,15,15,15,8,8,1
ハツカダイコン,春菊,30,140,並列,15,15,15,8,8,1
ハツカダイコン,春菊,30,150,並列,15,15,15,9,9,1
ハツカダイコン,春菊,30,160,並列,15,15,15,10,10,1
ハツカダイコン,春菊,30,170,並列,15,15,15,10,10,1
ハツカダイコン,春菊,30,180,並列,15,15,15,11,11,1
ハツカダイコン,春菊,30,190,並列,15,15,15,12,12,1
ハツカダイコン,春菊,30,200,並列,15,15,15,12,12,1
ニンジン,春菊,10,60,1列,15,-,-,2,1,1
ニンジン,春菊,10,70,1列,15,-,-,2,2,1
ニンジン,春菊,10,80,1列,15,-,-,2,2,1
ニンジン,春菊,10,90,1列,15,-,-,3,2,1
ニンジン,春菊,10,100,1列,15,-,-,3,3,1
ニンジン,春菊,10,110,1列,15,-,-,3,3,1
ニンジン,春菊,10,120,1列,15,-,-,4,3,1
ニンジン,春菊,10,130,1列,15,-,-,4,4,1
ニンジン,春菊,10,140,1列,15,-,-,4,4,1
ニンジン,春菊,10,150,1列,15,-,-,5,4,1
ニンジン,春菊,10,160,1列,15,-,-,5,5,1
ニンジン,春菊,10,170,1列,15,-,-,5,5,1
ニンジン,春菊,10,180,1列,15,-,-,6,5,1
ニンジン,春菊,10,190,1列,15,-,-,6,6,1
ニンジン,春菊,10,200,1列,15,-,-,6,6,1
ニンジン,春菊,20,60,1列,15,-,-,2,1,1
ニンジン,春菊,20,70,1列,15,-,-,2,2,1
ニンジン,春菊,20,80,1列,15,-,-,2,2,1
ニンジン,春菊,20,90,1列,15,-,-,3,2,1
ニンジン,春菊,20,100,1列,15,-,-,3,3,1
ニンジン,春菊,20,110,1列,15,-,-,3,3,1
ニンジン,春菊,20,120,1列,15,-,-,4,3,1
ニンジン,春菊,20,130,1列,15,-,-,4,4,1
ニンジン,春菊,20,140,1列,15,-,-,4,4,1
ニンジン,春菊,20,150,1列,15,-,-,5,4,1
ニンジン,春菊,20,160,1列,15,-,-,5,5,1
ニンジン,春菊,20,170,1列,15,-,-,5,5,1
ニンジン,春菊,20,180,1列,15,-,-,6,5,1
ニンジン,春菊,20,190,1列,15,-,-,6,6,1
ニンジン,春菊,20,200,1列,15,-,-,6,6,1
ニンジン,春菊,30,60,並列,15,15,15,3,3,1
ニンジン,春菊,30,70,並列,15,15,15,4,4,1
ニンジン,春菊,30,80,並列,15,15,15,4,4,1
ニンジン,春菊,30,90,並列,15,15,15,5,5,1
ニンジン,春菊,30,100,並列,15,15,15,6,6,1
ニンジン,春菊,30,110,並列,15,15,15,6,6,1
ニンジン,春菊,30,120,並列,15,15,15,7,7,1
ニンジン,春菊,30,130,並列,15,15,15,8,8,1
ニンジン,春菊,30,140,並列,15,15,15,8,8,1
ニンジン,春菊,30,150,並列,15,15,15,9,9,1
ニンジン,春菊,30,160,並列,15,15,15,10,10,1
ニンジン,春菊,30,170,並列,15,15,15,10,10,1
ニンジン,春菊,30,180,並列,15,15,15,11,11,1
ニンジン,春菊,30,190,並列,15,15,15,12,12,1
ニンジン,春菊,30,200,並列,15,15,15,12,12,1
トマト,バジル,,,千鳥,50,50,50,0,0,1
トマト,バジル,10,60,1列,50,-,-,1,1,1
トマト,バジル,10,70,1列,50,-,-,1,1,1
トマト,バジル,10,80,1列,50,-,-,1,1,1
トマト,バジル,10,90,1列,50,-,-,1,1,1
トマト,バジル,10,100,1列,50,-,-,1,1,1
トマト,バジル,10,110,1列,50,-,-,2,1,1
トマト,バジル,10,120,1列,50,-,-,2,1,1
トマト,バジル,10,130,1列,50,-,-,2,1,1
トマト,バジル,10,140,1列,50,-,-,2,1,1
トマト,バジル,10,150,1列,50,-,-,2,1,1
トマト,バジル,10,160,1列,50,-,-,2,2,1
トマト,バジル,10,170,1列,50,-,-,2,2,1
トマト,バジル,10,180,1列,50,-,-,2,2,1
トマト,バジル,10,190,1列,50,-,-,2,2,1
トマト,バジル,10,200,1列,50,-,-,2,2,1
トマト,バジル,20,60,1列,50,-,-,1,1,1
トマト,バジル,20,70,1列,50,-,-,1,1,1
トマト,バジル,20,80,1列,50,-,-,1,1,1
トマト,バジル,20,90,1列,50,-,-,1,1,1
トマト,バジル,20,100,1列,50,-,-,1,1,1
トマト,バジル,20,110,1列,50,-,-,2,1,1
トマト,バジル,20,120,1列,50,-,-,2,1,1
トマト,バジル,20,130,1列,50,-,-,2,1,1
トマト,バジル,20,140,1列,50,-,-,2,1,1
トマト,バジル,20,150,1列,50,-,-,2,1,1
トマト,バジル,20,160,1列,50,-,-,2,2,1
トマト,バジル,20,170,1列,50,-,-,2,2,1
トマト,バジル,20,180,1列,50,-,-,2,2,1
トマト,バジル,20,190,1列,50,-,-,2,2,1
トマト,バジル,20,200,1列,50,-,-,2,2,1
